Age,Gender,Item Purchased,Category,Spending,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Spending_Level,High_Spender,Age_Group,Discount_Used,Cluster_K8,PCA1,PCA2,Customer_Persona,Anomaly_Flag,Anomaly
64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,34,Debit Card,2,Medium,0,Middle_Aged,1,2,1.931092645851624,0.33699560945045276,Family-Oriented Value Buyers,1,Normal
64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,8,PayPal,6,High,1,Middle_Aged,1,0,0.6777333997739831,1.991475289025508,High-Value Premium Buyers,1,Normal
25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,44,Debit Card,5,Low,0,Youth,1,6,2.2274368710584915,-0.0231347011940968,Price-Sensitive Budget Shoppers,1,Normal
53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,36,Venmo,4,Low,0,Middle_Aged,1,2,2.154827951104358,-0.00837110290503957,Price-Sensitive Budget Shoppers,1,Normal
52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,17,Cash,2,Medium,0,Middle_Aged,1,6,1.9639336025248628,0.1679836172481715,Family-Oriented Value Buyers,1,Normal
66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,46,Debit Card,5,Very_High,1,Senior,1,0,0.5805510803028168,2.3523184782863797,High-Value Premium Buyers,1,Normal
21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Credit Card,Express,Yes,50,Cash,7,Medium,0,Youth,1,2,2.029614784238901,0.2591089748670865,Young Trend-Oriented Shoppers,1,Normal
31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,22,Debit Card,4,High,1,Young_Adult,1,4,0.9180877622086221,1.6944462378776337,Deal-Driven Shoppers,1,Normal
56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Cash,Store Pickup,Yes,32,Debit Card,3,Low,0,Middle_Aged,1,2,2.2824390362904436,-0.13712345611324864,Price-Sensitive Budget Shoppers,1,Normal
31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,40,Credit Card,2,Very_High,1,Young_Adult,1,4,0.4810311013485674,2.3856832900708804,High-Value Premium Buyers,1,Normal
18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Cash,Store Pickup,Yes,16,Debit Card,2,Low,0,Youth,1,6,2.475955053386679,-0.531625746640614,Price-Sensitive Budget Shoppers,-1,Anomaly
18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,14,PayPal,3,Low,0,Youth,1,6,2.375924143066386,-0.45040933033864106,Price-Sensitive Budget Shoppers,1,Normal
38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,13,Credit Card,3,Low,0,Adult,1,6,2.4983509156840746,-0.5662408334986551,Price-Sensitive Budget Shoppers,1,Normal
56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Debit Card,Next Day Air,Yes,7,Bank Transfer,7,Medium,0,Middle_Aged,1,6,1.8079118326070542,0.34052854146903394,Family-Oriented Value Buyers,-1,Anomaly
54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,41,PayPal,7,Very_High,1,Middle_Aged,1,0,0.40085194044882294,2.4929767640004448,High-Value Premium Buyers,1,Normal
31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,14,Credit Card,2,Medium,0,Young_Adult,1,6,1.9414611530180081,0.17306401334141955,Young Trend-Oriented Shoppers,1,Normal
57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,16,Credit Card,6,Low,0,Middle_Aged,1,6,2.26610058706581,-0.24654444339608061,Price-Sensitive Budget Shoppers,1,Normal
33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,45,Venmo,6,High,1,Young_Adult,1,4,0.6465977503537614,2.189472612546317,Deal-Driven Shoppers,1,Normal
36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,37,Venmo,3,High,1,Adult,1,4,0.8399471160318265,1.8438242823866033,Deal-Driven Shoppers,1,Normal
54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,45,Cash,4,Low,0,Middle_Aged,1,2,2.2813973724868526,-0.06805612148351253,Price-Sensitive Budget Shoppers,1,Normal
36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,38,PayPal,4,Very_High,1,Adult,1,4,0.43155884651985654,2.428624695601796,High-Value Premium Buyers,1,Normal
54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,48,Credit Card,5,Low,0,Middle_Aged,1,2,2.2975762712361574,-0.1506851739309262,Price-Sensitive Budget Shoppers,1,Normal
35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,Yes,44,PayPal,1,High,1,Young_Adult,1,0,0.8004852573701831,1.9312181903421755,Deal-Driven Shoppers,1,Normal
35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Debit Card,Store Pickup,Yes,10,PayPal,2,Medium,0,Young_Adult,1,6,2.1137706075277944,-0.019752867213804412,Family-Oriented Value Buyers,1,Normal
29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,44,Venmo,7,Low,0,Young_Adult,1,2,2.224678560067382,-0.06208953504268934,Price-Sensitive Budget Shoppers,1,Normal
70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,Yes,18,Credit Card,6,Medium,0,Senior,1,2,1.8109817187362731,0.4327365212646294,Deal-Driven Shoppers,1,Normal
69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,Yes,31,Debit Card,4,High,1,Senior,1,0,0.741076482849161,2.0408477505850673,Deal-Driven Shoppers,1,Normal
67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Cash,Standard,Yes,40,Venmo,3,Low,0,Senior,1,2,2.199445481769861,0.003663768551334823,Price-Sensitive Budget Shoppers,1,Normal
20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,15,PayPal,3,Very_High,1,Youth,1,4,0.2489138185308466,2.5564426188120724,High-Value Premium Buyers,1,Normal
25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,PayPal,Store Pickup,Yes,19,PayPal,1,High,1,Youth,1,4,0.8262342225981697,1.8061853662976437,Deal-Driven Shoppers,1,Normal
39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,45,PayPal,2,Medium,0,Adult,1,2,1.9309205270636345,0.37701760940056583,Family-Oriented Value Buyers,1,Normal
50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,25,PayPal,3,Low,0,Adult,1,2,2.510891197122818,-0.5617067126312807,Price-Sensitive Budget Shoppers,1,Normal
57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,45,Cash,4,Medium,0,Middle_Aged,1,2,2.2248988175083313,0.027917787981762917,Family-Oriented Value Buyers,1,Normal
55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,36,Cash,2,Medium,0,Middle_Aged,1,2,1.9005824250123693,0.3572092630798342,Family-Oriented Value Buyers,1,Normal
42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,38,Cash,6,Medium,0,Adult,1,2,1.9940341160667854,0.2784157883054523,Family-Oriented Value Buyers,1,Normal
68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Bank Transfer,Next Day Air,Yes,34,Debit Card,5,Low,0,Senior,1,2,2.337870710898666,-0.2181043066156672,Price-Sensitive Budget Shoppers,1,Normal
49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Cash,Store Pickup,Yes,39,Debit Card,5,Low,0,Adult,1,2,2.3971775654341485,-0.2959767235210651,Price-Sensitive Budget Shoppers,1,Normal
59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,PayPal,2-Day Shipping,Yes,7,Credit Card,4,Medium,0,Middle_Aged,1,6,1.7235474840822624,0.41319529301319413,Family-Oriented Value Buyers,1,Normal
42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,26,Credit Card,2,Low,0,Adult,1,2,2.5519173195518445,-0.5899014918078778,Price-Sensitive Budget Shoppers,-1,Anomaly
29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,35,Credit Card,2,Low,0,Young_Adult,1,6,2.427143721424515,-0.3835365308769965,Price-Sensitive Budget Shoppers,1,Normal
47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,35,Debit Card,5,Very_High,1,Adult,1,0,0.43779905775531797,2.465548508467073,High-Value Premium Buyers,1,Normal
40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,Venmo,2-Day Shipping,Yes,49,Credit Card,3,Low,0,Adult,1,2,2.441946158934382,-0.31327889282098814,Price-Sensitive Budget Shoppers,1,Normal
41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,PayPal,Store Pickup,Yes,46,Credit Card,2,High,1,Adult,1,0,0.7747111470394689,2.024314495412588,Deal-Driven Shoppers,1,Normal
21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,PayPal,Store Pickup,Yes,17,Debit Card,1,High,1,Youth,1,4,0.8858925745286955,1.7265868449248214,Deal-Driven Shoppers,-1,Anomaly
69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,29,Venmo,6,Medium,0,Senior,1,2,1.9254663696229972,0.30879970576707344,Family-Oriented Value Buyers,1,Normal
63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Debit Card,Standard,Yes,4,Debit Card,2,High,1,Middle_Aged,1,4,0.647626306618848,2.024699631631763,Deal-Driven Shoppers,1,Normal
50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Credit Card,Express,Yes,17,Cash,2,Low,0,Adult,1,6,2.1974851463693024,-0.1383585620701786,Price-Sensitive Budget Shoppers,1,Normal
55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,21,Credit Card,7,High,1,Middle_Aged,1,4,0.8096904606518869,1.8411450601246395,Deal-Driven Shoppers,1,Normal
30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,31,Credit Card,1,Low,0,Young_Adult,1,6,2.4775318935504735,-0.460601969153109,Price-Sensitive Budget Shoppers,1,Normal
33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,43,Credit Card,2,High,1,Young_Adult,1,0,0.7584097253975574,2.0596344959350033,Deal-Driven Shoppers,1,Normal
65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,PayPal,Standard,Yes,18,Debit Card,1,Very_High,1,Middle_Aged,1,0,0.5526318669301722,2.210222888963795,High-Value Premium Buyers,1,Normal
65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,44,Venmo,7,Low,0,Middle_Aged,1,2,2.2261327572500607,-0.036289314281233734,Price-Sensitive Budget Shoppers,-1,Anomaly
31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,3,Venmo,7,Very_High,1,Young_Adult,1,4,0.2845041564439832,2.438191231337667,High-Value Premium Buyers,1,Normal
45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,PayPal,Store Pickup,Yes,49,Debit Card,6,Low,0,Adult,1,2,2.3064468575055805,-0.1137609007692878,Price-Sensitive Budget Shoppers,1,Normal
57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,21,Cash,7,Medium,0,Middle_Aged,1,2,2.0818585174659447,0.08129146064366376,Family-Oriented Value Buyers,1,Normal
48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Credit Card,Express,Yes,5,Cash,2,High,1,Adult,1,4,0.7718234211386452,1.8375725428325342,Deal-Driven Shoppers,1,Normal
22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Credit Card,Express,Yes,32,Debit Card,7,Low,0,Youth,1,6,2.290403273042711,-0.22825223298374675,Price-Sensitive Budget Shoppers,1,Normal
36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Debit Card,Express,Yes,34,Bank Transfer,3,Medium,0,Adult,1,2,2.091423677755948,0.11295299027903842,Family-Oriented Value Buyers,1,Normal
18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,21,Bank Transfer,7,Low,0,Youth,1,6,2.408822897258932,-0.4309117088428848,Price-Sensitive Budget Shoppers,-1,Anomaly
48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,43,Bank Transfer,5,Very_High,1,Adult,1,0,0.6709991285288134,2.1781102798556535,High-Value Premium Buyers,1,Normal
49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,3,Cash,6,Medium,0,Adult,1,6,1.7842374240848111,0.3663304294178251,Family-Oriented Value Buyers,1,Normal
64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,21,Credit Card,3,Very_High,1,Middle_Aged,1,0,0.6621285072112251,2.0983465876119274,High-Value Premium Buyers,1,Normal
50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,32,Venmo,6,Medium,0,Adult,1,2,2.120559930733276,0.0772603888990106,Family-Oriented Value Buyers,1,Normal
22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,36,Debit Card,1,Medium,0,Youth,1,6,1.9903592334687334,0.2772541998067293,Young Trend-Oriented Shoppers,1,Normal
50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,Yes,50,Venmo,1,Very_High,1,Adult,1,0,0.45927965401848136,2.4691636817308753,High-Value Premium Buyers,1,Normal
38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,43,Bank Transfer,7,Very_High,1,Adult,1,0,0.48387238631142854,2.4436045566850355,High-Value Premium Buyers,-1,Anomaly
19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,24,Credit Card,7,High,1,Youth,1,4,0.7982812951913748,1.8747402207602482,Deal-Driven Shoppers,-1,Anomaly
67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,PayPal,Express,Yes,36,Credit Card,7,Very_High,1,Senior,1,0,0.5223399588961396,2.405856755260343,High-Value Premium Buyers,-1,Anomaly
19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,21,Credit Card,7,Low,0,Youth,1,6,2.3086088956936206,-0.30782976883733953,Price-Sensitive Budget Shoppers,1,Normal
36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,Yes,34,Bank Transfer,2,Medium,0,Adult,1,6,2.156184983162354,-0.01995254427415133,Family-Oriented Value Buyers,1,Normal
52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Cash,Standard,Yes,42,Bank Transfer,7,Low,0,Middle_Aged,1,2,2.3185404008575343,-0.15400326721272908,Price-Sensitive Budget Shoppers,1,Normal
53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,2,Debit Card,5,Very_High,1,Middle_Aged,1,4,0.3173083050591784,2.4462043463867396,High-Value Premium Buyers,1,Normal
24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,47,Cash,5,Medium,0,Youth,1,2,2.1491876375800865,0.050912894366066816,Young Trend-Oriented Shoppers,1,Normal
52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,44,Debit Card,1,Medium,0,Middle_Aged,1,2,1.967084910114572,0.324022914020778,Family-Oriented Value Buyers,1,Normal
33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,35,Credit Card,6,Medium,0,Young_Adult,1,6,2.013466314276473,0.15377755552602243,Young Trend-Oriented Shoppers,1,Normal
47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,15,Cash,4,Very_High,1,Adult,1,4,0.6001857149952166,2.1065156855088496,High-Value Premium Buyers,1,Normal
25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,29,Credit Card,6,Medium,0,Youth,1,6,2.080049241018373,0.12774435994959155,Young Trend-Oriented Shoppers,1,Normal
44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,PayPal,Standard,Yes,18,Credit Card,7,Very_High,1,Adult,1,4,0.26557662535346743,2.594649911539543,High-Value Premium Buyers,1,Normal
61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,13,Venmo,7,Very_High,1,Middle_Aged,1,4,0.5007122124116654,2.2407698204283397,High-Value Premium Buyers,1,Normal
37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,PayPal,Standard,Yes,46,Credit Card,2,High,1,Adult,1,0,0.944190482029123,1.7428382356563556,Deal-Driven Shoppers,1,Normal
58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,28,Credit Card,2,High,1,Middle_Aged,1,0,0.6967747988325014,2.037110751680932,Deal-Driven Shoppers,1,Normal
37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,48,PayPal,6,Very_High,1,Adult,1,0,0.33684086688922393,2.6273803673923624,High-Value Premium Buyers,1,Normal
32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,43,Venmo,7,High,1,Young_Adult,1,0,0.8295760003450962,1.9862822758733807,Deal-Driven Shoppers,1,Normal
21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,PayPal,Store Pickup,Yes,37,Cash,3,Very_High,1,Youth,1,4,0.3710195642108942,2.4885194988546226,High-Value Premium Buyers,1,Normal
20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,20,Bank Transfer,3,High,1,Youth,1,4,0.9260655397327527,1.7049488597386342,Deal-Driven Shoppers,1,Normal
26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Cash,Express,Yes,33,Debit Card,4,Medium,0,Young_Adult,1,6,2.1695957041340512,-0.00239886935362698,Young Trend-Oriented Shoppers,1,Normal
62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,PayPal,Express,Yes,31,Cash,1,Very_High,1,Middle_Aged,1,0,0.4386132774092189,2.4592901906297806,High-Value Premium Buyers,-1,Anomaly
27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Venmo,Express,Yes,50,Credit Card,5,Very_High,1,Young_Adult,1,4,0.5521173189341588,2.350141369398969,High-Value Premium Buyers,1,Normal
51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,35,Credit Card,4,High,1,Middle_Aged,1,0,0.8385700260484874,1.8577570707552336,Deal-Driven Shoppers,1,Normal
54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Debit Card,Next Day Air,Yes,22,Venmo,5,Very_High,1,Middle_Aged,1,0,0.5170971420946364,2.3005660313037763,High-Value Premium Buyers,1,Normal
55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,1,PayPal,6,Low,0,Middle_Aged,1,6,2.370413087524127,-0.48479765483299264,Price-Sensitive Budget Shoppers,1,Normal
69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,4,Bank Transfer,3,Very_High,1,Senior,1,0,0.38082951244666713,2.3870183824306253,High-Value Premium Buyers,1,Normal
64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Cash,Standard,Yes,31,Credit Card,6,Low,0,Middle_Aged,1,2,2.319574402189984,-0.18752576708055269,Price-Sensitive Budget Shoppers,1,Normal
28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,Yes,46,PayPal,1,High,1,Young_Adult,1,0,0.977495172185238,1.795010943983069,Deal-Driven Shoppers,1,Normal
70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,32,Bank Transfer,5,High,1,Senior,1,0,0.7518523919447847,2.023054372698432,Deal-Driven Shoppers,1,Normal
58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,Yes,43,Bank Transfer,1,Very_High,1,Middle_Aged,1,0,0.7063160916675916,2.172752675809787,High-Value Premium Buyers,1,Normal
56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Bank Transfer,Standard,Yes,26,Venmo,1,Low,0,Middle_Aged,1,2,2.430683340485204,-0.38931436861741125,Price-Sensitive Budget Shoppers,1,Normal
26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,PayPal,Free Shipping,Yes,9,Credit Card,3,High,1,Young_Adult,1,4,0.626798403304313,1.995137612525621,Deal-Driven Shoppers,1,Normal
37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,28,PayPal,5,High,1,Adult,1,4,0.8710116587081546,1.7662207289172211,Deal-Driven Shoppers,1,Normal
44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,20,PayPal,4,Medium,0,Adult,1,6,1.9693942396775599,0.2313886077160464,Family-Oriented Value Buyers,1,Normal
